city,lat,lng,admin_name
Hồ Chí Minh,10.8167,106.6333,Hồ Chí Minh
Hà Nội,21.0245,105.8412,Hà Nội
Hải Phòng,20.8,106.6667,Hải Phòng
Cần Thơ,10.0333,105.7833,Cần Thơ
Biên Hòa,10.9277,106.8681,Đồng Nai
Thủ Đức,10.8199,106.7909,Hồ Chí Minh
Quảng Hà,16.06,108.25,Quảng Nam
Bắc Ninh,21.1861,106.0763,Bắc Ninh
Hải Dương,20.9399,106.3309,Hải Dương
Vinh,18.6733,105.6922,Nghệ An
Huế,16.4637,107.5908,Thừa Thiên-Huế
Thanh Hóa,19.8075,105.7764,Thanh Hóa
Nha Trang,12.2495,109.1908,Khánh Hòa
Nam Định,20.42,106.1683,Nam Định
Buôn Ma Thuột,12.6667,108.05,Đắk Lắk
Thái Nguyên,21.6,105.85,Thái Nguyên
Vũng Tàu,10.4042,107.1417,Bà Rịa-Vũng Tàu
Cà Mau,9.1833,105.15,Cà Mau
Quy Nhơn,13.7696,109.2314,Bình Định
Sóc Trăng,9.6,105.9719,Sóc Trăng
Long Xuyên,10.3686,105.4234,An Giang
Việt Trì,21.3136,105.3947,Phú Thọ
Thái Bình,20.4461,106.3422,Thái Bình
Quảng Ngãi,15.1206,108.7922,Quảng Ngãi
Ấp Đa Lợi,11.9304,108.42,Lâm Đồng
Rạch Giá,10.0125,105.0808,Kiến Giang
Thủ Dầu Một,11.0042,106.6583,Bình Dương
Tuy Hòa,13.0869,109.3086,Phú Yên
Bạc Liêu,9.2833,105.7167,Bạc Liêu
Sa Đéc,10.3105,105.7397,Đồng Tháp
Phan Thiết,10.9375,108.1583,Bình Thuận
Sơn Tây,21.1382,105.505,Hà Nội
Phan Rang-Tháp Chàm,11.5643,108.9886,Ninh Thuận
Hạ Long,20.9514,107.0852,Quảng Ninh
Hà Tĩnh,18.3431,105.9058,Hà Tĩnh
Đồng Hới,17.4833,106.6,Quảng Bình
Châu Đốc,10.7,105.1167,An Giang
Cẩm Phả,21.0094,107.2728,Quảng Ninh
Cao Lãnh,10.4603,105.6331,Đồng Tháp
Lạng Sơn,21.8478,106.7578,Lạng Sơn
Cam Ranh,11.902,109.2207,Khánh Hòa
Pleiku,13.9715,108.0147,Gia Lai
Tân An,10.5322,106.4042,Long An
Trà Vinh,9.9369,106.3411,Trà Vinh
Ninh Bình,20.2539,105.975,Ninh Bình
Tây Ninh,11.3131,106.0963,Tây Ninh
Cam Ranh,11.9136,109.1369,Khánh Hòa
Mỹ Tho,10.35,106.35,Tiền Giang
Hội An,15.8777,108.3327,Quảng Nam
Hòa Bình,20.8175,105.3375,Hòa Bình
Mang La,14.3838,107.9833,Kon Tum
Vĩnh Long,10.255,105.9753,Vĩnh Long
Vị Thanh,9.7833,105.4708,Hậu Giang
Yên Bái,21.7,104.8667,Yên Bái
Dĩ An,10.9039,106.7679,Bình Dương
Quảng Trị,16.7504,107.2,Quảng Trị
Phú Quốc,10.2289,103.9572,Kiến Giang
Lào Cai,22.4194,103.995,Lào Cai
Bến Tre,10.2333,106.3833,Bến Tre
Bắc Giang,21.2731,106.1947,Bắc Giang
Hà Tiên,10.3833,104.4833,Kiến Giang
Cao Bằng,22.6731,106.25,Cao Bằng
Bình Long,11.6504,106.6,Bình Phước
Hà Giang,22.8233,104.9836,Hà Giang
Tuyên Quang,21.8281,105.2156,Tuyên Quang
Bắc Kạn,22.1514,105.8377,Bắc Kạn
Sơn La,21.327,103.9141,Sơn La
Đông Hà,16.8056,107.0906,Quảng Trị
Quận Mười Một,10.7638,106.6436,Hồ Chí Minh
Quận Năm,10.7557,106.6675,Hồ Chí Minh
Quận Mười,10.7682,106.6663,Hồ Chí Minh
Quận Phú Nhuận,10.7948,106.6763,Hồ Chí Minh
Đống Đa,21.0201,105.831,Hà Nội
Quận Sáu,10.7468,106.649,Hồ Chí Minh
Hai BàTrưng,21.0134,105.8477,Hà Nội
Hoàn Kiếm,21.0286,105.8506,Hà Nội
Quận Ba,10.7749,106.6863,Hồ Chí Minh
Quận Một,10.7807,106.6994,Hồ Chí Minh
Cầu Giấy,21.0323,105.8007,Hà Nội
Quận Bốn,10.7668,106.7057,Hồ Chí Minh
Quận Tân Phú,10.7838,106.637,Hồ Chí Minh
Quận Bình Thạnh,10.8033,106.6967,Hồ Chí Minh
Ba Đình,21.0341,105.8145,Hà Nội
Thanh Khê,16.0706,108.191,Đà Nẵng
Thanh Xuân,20.9947,105.7998,Hà Nội
Đà Nẵng,16.0748,108.224,Đà Nẵng
Quận Bảy,10.7118,106.7364,Hồ Chí Minh
Tây Hồ,21.0689,105.8105,Hà Nội
Hà Đông,20.9714,105.7788,Hà Nội
Lái Thiêu,10.9051,106.6995,Bình Dương
Cầu Diễn,21.0393,105.7666,Hà Nội
Hưng Yên,20.6464,106.0511,Hưng Yên
Quận Hai,10.7916,106.7495,Hồ Chí Minh
Hóc Môn,10.8891,106.5953,Hồ Chí Minh
Cẩm Lệ,16.0177,108.2038,Đà Nẵng
Văn Điển,20.9463,105.845,Hà Nội
Quận Chín,10.8397,106.7709,Hồ Chí Minh
Sơn Trà,16.0607,108.2326,Đà Nẵng
Trâu Quỳ,21.0195,105.9369,Hà Nội
Phủ Lý,20.5453,105.9122,Hà Nam
Trôi,21.0695,105.7065,Hà Nội
Phùng,21.089,105.659,Hà Nội
Đông Anh,21.1396,105.8493,Hà Nội
Tân Túc,10.6954,106.5913,Hồ Chí Minh
Bình Thủy,10.0743,105.7397,Cần Thơ
Vĩnh Yên,21.31,105.5967,Vĩnh Phúc
Tam Kỳ,15.5667,108.4833,Quảng Nam
Điện Biên Phủ,21.3833,103.0169,Điện Biên
Đồng Xoài,11.5349,106.8832,Bình Phước
Đà Lạt,11.9359,108.4429,Lâm Đồng
Lai Châu,22.3991,103.4393,Lai Châu
Kon Tum,14.3436,107.9789,Kon Tum
Gia Nghĩa,12.0042,107.6907,Đắk Nông
Ngũ Hành Sơn,16.0162,108.2534,Đà Nẵng
Thường Tín,20.8687,105.8612,Hà Nội
Thị Trấn Long Điền,10.4856,107.2123,Bà Rịa-Vũng Tàu
Liên Chiểu,16.0727,108.1581,Đà Nẵng
Cái Răng,10.0009,105.751,Cần Thơ
Hòa Thành,11.287,106.1294,Tây Ninh
Lý Sơn,15.372,109.1189,Quảng Ngãi
Phúc Thọ,21.1034,105.5455,Hà Nội
An Dương,20.8638,106.6133,Hải Phòng
Mê Linh,21.1831,105.7204,Hà Nội
Như Quỳnh,20.9817,105.9849,Hưng Yên
Nhà Bè,10.6967,106.7403,Hồ Chí Minh
Liên Quan,21.0572,105.5792,Hà Nội
Yên Mỹ,20.8856,106.0356,Hưng Yên
Khoái Châu,20.8391,105.9776,Hưng Yên
Phú Quý,10.5166,108.9329,Bình Thuận
Kim Bài,20.8526,105.7696,Hà Nội
Văn Giang,20.943,105.9312,Hưng Yên
Chúc Sơn,20.9237,105.7015,Hà Nội
Quốc Oai,20.9902,105.6409,Hà Nội
Xuân Trường,20.2923,106.3327,Nam Định
Hồ,21.0631,106.0857,Bắc Ninh
Núi Đèo,20.9157,106.6744,Hải Phòng
Yên Lạc,21.2365,105.573,Vĩnh Phúc
Vĩnh Tường,21.2165,105.5125,Vĩnh Phúc
Núi Đối,20.7508,106.6689,Hải Phòng
Phú Xuyên,20.7455,105.9136,Hà Nội
An Lão,20.8229,106.5558,Hải Phòng
Cổ Lễ,20.3234,106.2658,Nam Định
Hưng Hà,20.5904,106.2245,Thái Bình
Bẩn Yên Nhân,20.9365,106.0571,Hưng Yên
Lim,21.1439,106.0202,Bắc Ninh
